SNR,lmmse_glob
-15,0.9466346718344256
-10,0.8550897749749569
-5,0.6728218027730467
0,0.4213002366683106
5,0.20230561690032595
10,0.07902432363999767
15,0.02773513956679155
20,0.009330265272038951
