t,nmse_dm
36,0.5854466557502747
35,0.5380921959877014
34,0.49446722865104675
33,0.4544793367385864
32,0.4179893434047699
31,0.3848234713077545
30,0.35478174686431885
29,0.3276578187942505
28,0.30325719714164734
27,0.2813989520072937
26,0.26191356778144836
25,0.24464531242847443
24,0.22944779694080353
23,0.21621845662593842
22,0.2050165832042694
21,0.19546741247177124
20,0.1872892528772354
19,0.18030408024787903
18,0.17431995272636414
17,0.16939546167850494
16,0.1654340624809265
15,0.16229596734046936
14,0.15986697375774384
13,0.15806305408477783
12,0.1568058282136917
11,0.15600967407226562
10,0.15558703243732452
9,0.15545964241027832
8,0.15556222200393677
7,0.15581916272640228
6,0.1562236100435257
5,0.1566924750804901
4,0.15715202689170837
3,0.1575634777545929
2,0.15789829194545746
1,0.15803936123847961
0,0.1580306738615036
