t,nmse_dm
68,1.3964425325393677
67,1.333876371383667
66,1.2756174802780151
65,1.2216804027557373
64,1.1719892024993896
63,1.1263760328292847
62,1.0845903158187866
61,1.046337604522705
60,1.0113195180892944
59,0.9792654514312744
58,0.9499375224113464
57,0.923117995262146
56,0.8986085057258606
55,0.8762279152870178
54,0.8557981252670288
53,0.8371528387069702
52,0.8201673626899719
51,0.8047425746917725
50,0.7907629609107971
49,0.7781084179878235
48,0.7666692733764648
47,0.7563527822494507
46,0.7470828294754028
45,0.7387919425964355
44,0.7314132452011108
43,0.7248786091804504
42,0.7191235423088074
41,0.7140906453132629
40,0.7097294926643372
39,0.7059927582740784
38,0.7028326988220215
37,0.7002017498016357
36,0.6980547904968262
35,0.6963517665863037
34,0.6950579285621643
33,0.6941415667533875
32,0.6935715079307556
31,0.6933179497718811
30,0.6933541893959045
29,0.6936576962471008
28,0.6942087411880493
27,0.6949837803840637
26,0.6959584951400757
25,0.6970922946929932
24,0.6983523368835449
23,0.6996676921844482
22,0.7010709047317505
21,0.702643632888794
20,0.7042945027351379
19,0.7059486508369446
18,0.7076719999313354
17,0.7094141244888306
16,0.7111476063728333
15,0.7128652930259705
14,0.7145622968673706
13,0.7162261605262756
12,0.7178376317024231
11,0.7193835973739624
10,0.7208617329597473
9,0.7222836017608643
8,0.7236797213554382
7,0.7249646186828613
6,0.7260686755180359
5,0.7269909381866455
4,0.727756917476654
3,0.7283319234848022
2,0.7287474870681763
1,0.7289822101593018
0,0.7290191650390625
