t,nmse_dm
52,1.0188490152359009
51,0.9617736339569092
50,0.9082046151161194
49,0.8581570386886597
48,0.8115177750587463
47,0.7681272625923157
46,0.7278374433517456
45,0.6905193328857422
44,0.6560398936271667
43,0.6242454648017883
42,0.5949704051017761
41,0.5680570602416992
40,0.5433670878410339
39,0.5207788348197937
38,0.5001718401908875
37,0.4814194440841675
36,0.46439194679260254
35,0.4489678740501404
34,0.43504151701927185
33,0.42252036929130554
32,0.41131582856178284
31,0.40133872628211975
30,0.3925016224384308
29,0.3847253918647766
28,0.37794098258018494
27,0.3720846176147461
26,0.3670857548713684
25,0.3628847301006317
24,0.3594447672367096
23,0.35689476132392883
22,0.35490143299102783
21,0.35331687331199646
20,0.3522288501262665
19,0.3515509068965912
18,0.35122150182724
17,0.35122016072273254
16,0.35149967670440674
15,0.3520113229751587
14,0.35271647572517395
13,0.3535817563533783
12,0.3545733690261841
11,0.3556571304798126
10,0.35680091381073
9,0.3579770028591156
8,0.35915467143058777
7,0.3603229522705078
6,0.36141833662986755
5,0.3623906373977661
4,0.3632291853427887
3,0.36389875411987305
2,0.3643993139266968
1,0.364626407623291
0,0.364636093378067
