t,nmse_dm
52,1.0179462432861328
51,0.9483452439308167
50,0.883043646812439
49,0.821897566318512
48,0.7646915912628174
47,0.7111725807189941
46,0.6611138582229614
45,0.614348828792572
44,0.5707525610923767
43,0.5301961898803711
42,0.49251869320869446
41,0.45754003524780273
40,0.42509979009628296
39,0.39509013295173645
38,0.36742594838142395
37,0.3419675827026367
36,0.3185575604438782
35,0.29705139994621277
34,0.27732881903648376
33,0.2592969834804535
32,0.24287548661231995
31,0.22798268496990204
30,0.21452805399894714
29,0.20241540670394897
28,0.19155201315879822
27,0.1818508505821228
26,0.17322710156440735
25,0.16559870541095734
24,0.15888088941574097
23,0.1529950648546219
22,0.14787398278713226
21,0.14344923198223114
20,0.1396450251340866
19,0.13639098405838013
18,0.13366806507110596
17,0.13149717450141907
16,0.12986192107200623
15,0.12868423759937286
14,0.12786468863487244
13,0.12731899321079254
12,0.12697452306747437
11,0.12678317725658417
10,0.1267160177230835
9,0.12673600018024445
8,0.12683218717575073
7,0.12699803709983826
6,0.12712755799293518
5,0.1270865499973297
4,0.12692193686962128
3,0.1267341822385788
2,0.1265859752893448
1,0.12646611034870148
0,0.1264231950044632
