t,nmse_dm
52,1.0186587572097778
51,0.9615797996520996
50,0.9080095887184143
49,0.8579614162445068
48,0.8113219738006592
47,0.7679315805435181
46,0.7276420593261719
45,0.6903241276741028
44,0.6558446288108826
43,0.6240498423576355
42,0.5947741866111755
41,0.5678595304489136
40,0.5431678295135498
39,0.5205771327018738
38,0.49996718764305115
37,0.4812108278274536
36,0.4641784727573395
35,0.44874876737594604
34,0.43481627106666565
33,0.4222884178161621
32,0.4110768437385559
31,0.4010920226573944
30,0.39224666357040405
29,0.3844616413116455
28,0.37766793370246887
27,0.37180206179618835
26,0.366793692111969
25,0.36258307099342346
24,0.3591333329677582
23,0.35657358169555664
22,0.3545704483985901
21,0.35297608375549316
20,0.35187867283821106
19,0.35119199752807617
18,0.35085391998291016
17,0.35084405541419983
16,0.35111504793167114
15,0.3516182005405426
14,0.35231485962867737
13,0.3531716465950012
12,0.35415470600128174
11,0.35522958636283875
10,0.35636427998542786
9,0.3575313985347748
8,0.3587004542350769
7,0.3598611354827881
6,0.3609509766101837
5,0.3619190454483032
4,0.36275479197502136
3,0.3634226620197296
2,0.3639204204082489
1,0.36414703726768494
0,0.3641577661037445
