t,nmse_dm
36,0.5850293040275574
35,0.5377152562141418
34,0.49412959814071655
33,0.45417919754981995
32,0.4177252948284149
31,0.3845938444137573
30,0.3545849919319153
29,0.32749226689338684
28,0.30312126874923706
27,0.281291127204895
26,0.2618323266506195
25,0.2445892095565796
24,0.22941584885120392
23,0.2162097692489624
22,0.20502986013889313
21,0.1955016404390335
20,0.18734362721443176
19,0.18037843704223633
18,0.17441414296627045
17,0.1695089191198349
16,0.1655660718679428
15,0.16244584321975708
14,0.1600339114665985
13,0.15824609994888306
12,0.1570037454366684
11,0.15622106194496155
10,0.15581069886684418
9,0.1556946337223053
8,0.15580792725086212
7,0.1560751497745514
6,0.1564890593290329
5,0.1569666862487793
4,0.15743432939052582
3,0.15785278379917145
2,0.15819230675697327
1,0.15833541750907898
0,0.15832702815532684
